n,score,baseline,improvement,source
200,0.3710643976,0.3710643976,0.0000000000,ReverseGreedy
199,0.3698460143,0.3698460143,0.0000000000,Baseline
198,0.3677785288,0.3677785288,0.0000000000,Baseline
197,0.3696398376,0.3696454248,0.0000055873,ReverseGreedy
196,0.3668533110,0.3668533110,0.0000000000,Baseline
195,0.3686050241,0.3686050241,0.0000000000,Baseline
194,0.3679802317,0.3679802317,0.0000000000,Baseline
193,0.3680804628,0.3680804628,0.0000000000,Baseline
192,0.3689809353,0.3689809353,0.0000000000,Baseline
191,0.3652504239,0.3652504239,0.0000000000,Baseline
190,0.3671661461,0.3671727945,0.0000066484,ReverseGreedy
189,0.3691088241,0.3691155077,0.0000066836,ReverseGreedy
188,0.3710721689,0.3710788881,0.0000067192,ReverseGreedy
187,0.3730565121,0.3730632672,0.0000067551,ReverseGreedy
