n,score,baseline,improvement,source
91,0.3711801475,0.3711801475,0.0000000000,Baseline
90,0.3720082090,0.3720082090,0.0000000000,Baseline
89,0.3721434846,0.3721434846,0.0000000000,Baseline
88,0.3697296588,0.3697296588,0.0000000000,Baseline
87,0.3726224487,0.3726224487,0.0000000000,Baseline
86,0.3718290228,0.3718290228,0.0000000000,Baseline
85,0.3716520640,0.3716520640,0.0000000000,Baseline
84,0.3685641052,0.3685641052,0.0000000000,Baseline
83,0.3720002893,0.3720002893,0.0000000000,Baseline
82,0.3655559264,0.3655559264,0.0000000000,Baseline
81,0.3696959498,0.3696959498,0.0000000000,Baseline
80,0.3703511212,0.3703511212,0.0000000000,Baseline
79,0.3705422190,0.3705422190,0.0000000000,Baseline
78,0.3681403677,0.3681403677,0.0000000000,Baseline
77,0.3687920823,0.3687920823,0.0000000000,Baseline
76,0.3729894973,0.3729894973,0.0000000000,Baseline
75,0.3683504439,0.3683504439,0.0000000000,Baseline
74,0.3707942833,0.3707942833,0.0000000000,Baseline
73,0.3726082524,0.3726082524,0.0000000000,Baseline
72,0.3696069413,0.3696069413,0.0000000000,Baseline
71,0.3707705020,0.3707705020,0.0000000000,Baseline
70,0.3725298129,0.3725298129,0.0000000000,Baseline
69,0.3678824956,0.3678824956,0.0000000000,Baseline
68,0.3704789884,0.3704789884,0.0000000000,Baseline
67,0.3671401510,0.3671401510,0.0000000000,Baseline
66,0.3662207613,0.3662207613,0.0000000000,Baseline
65,0.3718455976,0.3718455976,0.0000000000,Baseline
64,0.3700246934,0.3700246934,0.0000000000,Baseline
63,0.3687787859,0.3687787859,0.0000000000,Baseline
62,0.3747178557,0.3747178557,0.0000000000,Baseline
61,0.3720677466,0.3720677466,0.0000000000,Baseline
60,0.3713078619,0.3713078619,0.0000000000,Baseline
59,0.3700308543,0.3700308543,0.0000000000,Baseline
58,0.3713882900,0.3713882900,0.0000000000,Baseline
57,0.3701694911,0.3701694911,0.0000000000,Baseline
56,0.3751781257,0.3751781257,0.0000000000,Baseline
55,0.3677276640,0.3677276640,0.0000000000,Baseline
54,0.3745171090,0.3745374356,0.0000203266,ReverseGreedy
53,0.3649186275,0.3649186275,0.0000000000,Baseline
52,0.3696094028,0.3696094028,0.0000000000,Baseline
51,0.3714599190,0.3714599190,0.0000000000,Baseline
50,0.3723110555,0.3723110555,0.0000000000,Baseline
49,0.3714087467,0.3714087467,0.0000000000,Baseline
48,0.3749055783,0.3749055783,0.0000000000,Baseline
47,0.3752663206,0.3752663206,0.0000000000,Baseline
46,0.3689368899,0.3689368899,0.0000000000,Baseline
45,0.3673852038,0.3673852038,0.0000000000,Baseline
44,0.3718802355,0.3718802355,0.0000000000,Baseline
43,0.3757729671,0.3757729671,0.0000000000,Baseline
42,0.3710249787,0.3710249787,0.0000000000,Baseline
41,0.3722117674,0.3722117674,0.0000000000,Baseline
40,0.3742340745,0.3742340745,0.0000000000,Baseline
39,0.3639138091,0.3639138091,0.0000000000,Baseline
38,0.3734897589,0.3734904883,0.0000007294,ReverseGreedy
37,0.3720964169,0.3720964169,0.0000000000,Baseline
36,0.3663300916,0.3663300916,0.0000000000,Baseline
35,0.3767963678,0.3767963678,0.0000000000,ReverseGreedy
34,0.3729025111,0.3729025111,0.0000000000,Baseline
33,0.3734378920,0.3734378920,0.0000000000,Baseline
32,0.3678586051,0.3678586051,0.0000000000,Baseline
