n,score,baseline,improvement,source
200,0.3710593658,0.3710643976,0.0000050318,ReverseGreedy
199,0.3698460143,0.3698460143,0.0000000000,Baseline
198,0.3677785288,0.3677785288,0.0000000000,Baseline
197,0.3696390107,0.3696390107,0.0000000000,Baseline
196,0.3668533110,0.3668533110,0.0000000000,Baseline
195,0.3686050241,0.3686050241,0.0000000000,Baseline
194,0.3679802317,0.3679802317,0.0000000000,Baseline
193,0.3680804628,0.3680804628,0.0000000000,Baseline
192,0.3689809353,0.3689809353,0.0000000000,Baseline
191,0.3652504239,0.3652504239,0.0000000000,Baseline
190,0.3671661461,0.3671661461,0.0000000000,Baseline
189,0.3691025626,0.3691031839,0.0000006213,Baseline+Opt
188,0.3710492562,0.3710658741,0.0000166178,ReverseGreedy
187,0.3730334769,0.3730470159,0.0000135390,ReverseGreedy
186,0.3739518324,0.3739518324,0.0000000000,Baseline
185,0.3714478506,0.3714478506,0.0000000000,Baseline
184,0.3684802931,0.3684802931,0.0000000000,Baseline
183,0.3704938466,0.3704938466,0.0000000000,ReverseGreedy
182,0.3679240916,0.3679240916,0.0000000000,Baseline
181,0.3699371213,0.3699419342,0.0000048128,Baseline+Opt
180,0.3672926642,0.3672926642,0.0000000000,Baseline
179,0.3693445785,0.3693445785,0.0000000000,ReverseGreedy
178,0.3714194898,0.3714194898,0.0000000000,ReverseGreedy
177,0.3682787166,0.3682787166,0.0000000000,Baseline
176,0.3691153085,0.3691153085,0.0000000000,Baseline
175,0.3712231671,0.3712237740,0.0000006070,ReverseGreedy
174,0.3686388763,0.3686388763,0.0000000000,Baseline
173,0.3705951888,0.3705996778,0.0000044890,Baseline+Opt
172,0.3727435477,0.3727499118,0.0000063641,ReverseGreedy
171,0.3742943214,0.3742943214,0.0000000000,Baseline
170,0.3669488701,0.3669488701,0.0000000000,Baseline
169,0.3674347042,0.3674347042,0.0000000000,Baseline
168,0.3696191942,0.3696191527,0.0000000000,ReverseGreedy
167,0.3689698179,0.3689698179,0.0000000000,Baseline
166,0.3671879003,0.3671879003,0.0000000000,Baseline
165,0.3694112211,0.3694129991,0.0000017780,ReverseGreedy
164,0.3665959022,0.3665959022,0.0000000000,Baseline
163,0.3688254568,0.3688254568,0.0000000000,ReverseGreedy
162,0.3674571664,0.3674571664,0.0000000000,Baseline
161,0.3697357022,0.3697394311,0.0000037290,ReverseGreedy
160,0.3681298840,0.3681298840,0.0000000000,Baseline
159,0.3704445839,0.3704446886,0.0000001047,Baseline+Opt
158,0.3688892897,0.3688892897,0.0000000000,Baseline
157,0.3711674012,0.3711674012,0.0000000000,Baseline
156,0.3638873431,0.3638873431,0.0000000000,Baseline
155,0.3662350033,0.3662350033,0.0000000000,ReverseGreedy
154,0.3686131527,0.3686131527,0.0000000000,ReverseGreedy
153,0.3682883356,0.3682901534,0.0000018179,Baseline+Opt
152,0.3707057451,0.3707112851,0.0000055400,ReverseGreedy
151,0.3684267474,0.3684267474,0.0000000000,Baseline
150,0.3688250101,0.3688250101,0.0000000000,Baseline
149,0.3712881774,0.3712881774,0.0000000000,Baseline
148,0.3673553517,0.3673553517,0.0000000000,Baseline
147,0.3684436833,0.3684436833,0.0000000000,Baseline
146,0.3700651272,0.3700651272,0.0000000000,Baseline
145,0.3681301596,0.3681301596,0.0000000000,Baseline
144,0.3656340931,0.3656340931,0.0000000000,Baseline
143,0.3681909748,0.3681909748,0.0000000000,ReverseGreedy
142,0.3693645013,0.3693649251,0.0000004238,Baseline+Opt
141,0.3717303916,0.3717303916,0.0000000000,Baseline
140,0.3696110684,0.3696110684,0.0000000000,Baseline
139,0.3721529399,0.3721529399,0.0000000000,Baseline
138,0.3700992509,0.3700992509,0.0000000000,Baseline
137,0.3703546821,0.3703546821,0.0000000000,Baseline
136,0.3685230753,0.3685240505,0.0000009753,Baseline+Opt
135,0.3712445797,0.3712445797,0.0000000000,Baseline
134,0.3682511413,0.3682511413,0.0000000000,Baseline
133,0.3690944399,0.3690944399,0.0000000000,Baseline
132,0.3707232790,0.3707232790,0.0000000000,Baseline
131,0.3699418629,0.3699418629,0.0000000000,Baseline
130,0.3665844389,0.3665844389,0.0000000000,Baseline
129,0.3694238766,0.3694248716,0.0000009950,Baseline+Opt
128,0.3678478835,0.3678478835,0.0000000000,Baseline
127,0.3694198464,0.3694198464,0.0000000000,Baseline
