n,score,baseline,improvement,source
200,0.3704511754,0.3704511754,0.0000000000,Baseline_CollisionFallback
199,0.1604145729,0.3695148407,0.2091002678,ReverseGreedy
198,0.1612247475,0.3675588495,0.2063341020,ReverseGreedy
197,0.1620431472,0.3694173074,0.2073741602,ReverseGreedy
196,0.1628698980,0.3666998596,0.2038299617,ReverseGreedy
195,0.1637051282,0.3684015131,0.2046963849,ReverseGreedy
194,0.1645489691,0.3678349716,0.2032860025,ReverseGreedy
193,0.1654015544,0.3679064787,0.2025049243,ReverseGreedy
192,0.1662630208,0.3687215210,0.2024585001,ReverseGreedy
191,0.1671335079,0.3651972586,0.1980637508,ReverseGreedy
190,0.3670839509,0.3670839509,0.0000000000,Baseline_CollisionFallback
189,0.1689021164,0.3690018732,0.2000997568,ReverseGreedy
188,0.1698005319,0.3709644352,0.2011639033,ReverseGreedy
187,0.1707085561,0.3729430015,0.2022344453,ReverseGreedy
186,0.1716263441,0.3738204004,0.2021940563,ReverseGreedy
185,0.1725540541,0.3707400374,0.1981859833,ReverseGreedy
184,0.1734918478,0.3682569682,0.1947651204,ReverseGreedy
183,0.1744398907,0.3702692269,0.1958293362,ReverseGreedy
182,0.1753983516,0.3675236592,0.1921253076,ReverseGreedy
181,0.1671270718,0.3694832545,0.2023561827,ReverseGreedy
180,0.3667344762,0.3667344762,0.0000000000,Baseline_CollisionFallback
179,0.1689944134,0.3687822378,0.1997878244,ReverseGreedy
178,0.1699438202,0.3708535321,0.2009097118,ReverseGreedy
177,0.1709039548,0.3680516302,0.1971476754,ReverseGreedy
176,0.1718750000,0.3687616514,0.1968866514,ReverseGreedy
175,0.1728571429,0.3707374711,0.1978803283,ReverseGreedy
174,0.1738505747,0.3681719683,0.1943213936,ReverseGreedy
173,0.1748554913,0.3699725962,0.1951171049,ReverseGreedy
172,0.1758720930,0.3719106314,0.1960385384,ReverseGreedy
171,0.1769005848,0.3735481250,0.1966475402,ReverseGreedy
170,0.3663623882,0.3663623882,0.0000000000,Baseline_CollisionFallback
169,0.1789940828,0.3669115470,0.1879174641,ReverseGreedy
168,0.1800595238,0.3690933726,0.1890338488,ReverseGreedy
167,0.1811377246,0.3682842034,0.1871464789,ReverseGreedy
166,0.1822289157,0.3668855784,0.1846566628,ReverseGreedy
165,0.1762760446,0.3690925720,0.1928165274,ReverseGreedy
164,0.1570464939,0.3662112466,0.2091647527,ReverseGreedy
163,0.1580099693,0.3683111148,0.2103011454,ReverseGreedy
162,0.1589853395,0.3671272862,0.2081419467,ReverseGreedy
161,0.1599728261,0.3693952201,0.2094223940,ReverseGreedy
160,0.3679731467,0.3679731467,0.0000000000,Baseline_CollisionFallback
159,0.1619850629,0.3701298261,0.2081447632,ReverseGreedy
158,0.1630102848,0.3684059521,0.2053956673,ReverseGreedy
157,0.1560668790,0.3705986943,0.2145318153,ReverseGreedy
156,0.1570673077,0.3636541120,0.2065868043,ReverseGreedy
155,0.1580806452,0.3659982017,0.2079175566,ReverseGreedy
154,0.1591071429,0.3683745100,0.2092673671,ReverseGreedy
153,0.1601470588,0.3675454950,0.2073984362,ReverseGreedy
152,0.1612006579,0.3699439228,0.2087432649,ReverseGreedy
151,0.1622682119,0.3681774755,0.2059092636,ReverseGreedy
150,0.3687367015,0.3687367015,0.0000000000,Baseline_CollisionFallback
149,0.1562458054,0.3711013404,0.2148555350,ReverseGreedy
148,0.1573015203,0.3672391556,0.2099376353,ReverseGreedy
147,0.1583715986,0.3682061386,0.2098345399,ReverseGreedy
146,0.1594563356,0.3694213397,0.2099650041,ReverseGreedy
145,0.1605560345,0.3676440332,0.2070879987,ReverseGreedy
144,0.1616710069,0.3652711995,0.2036001926,ReverseGreedy
143,0.1628015734,0.3678255436,0.2050239701,ReverseGreedy
142,0.1639480634,0.3687783116,0.2048302482,ReverseGreedy
141,0.1651108156,0.3713926103,0.2062817947,ReverseGreedy
140,0.3690654044,0.3690654044,0.0000000000,Baseline_CollisionFallback
139,0.1674865108,0.3716779654,0.2041914546,ReverseGreedy
138,0.1687001812,0.3697607442,0.2010605630,ReverseGreedy
137,0.1699315693,0.3702786626,0.2003470933,ReverseGreedy
136,0.1711810662,0.3684450746,0.1972640084,ReverseGreedy
135,0.1724490741,0.3711125295,0.1986634554,ReverseGreedy
134,0.1737360075,0.3681215626,0.1943855552,ReverseGreedy
133,0.1750422932,0.3687747667,0.1937324735,ReverseGreedy
132,0.1763683712,0.3702783479,0.1939099767,ReverseGreedy
131,0.1777146947,0.3698218423,0.1921071476,ReverseGreedy
130,0.3664343957,0.3664343957,0.0000000000,Baseline_CollisionFallback
129,0.1640310078,0.3690744776,0.2050434698,ReverseGreedy
128,0.1653125000,0.3677480185,0.2024355185,ReverseGreedy
127,0.1666141732,0.3693057461,0.2026915729,ReverseGreedy
126,0.1679365079,0.3707159604,0.2027794524,ReverseGreedy
125,0.1692800000,0.3705316673,0.2012516673,ReverseGreedy
124,0.1706451613,0.3707626051,0.2001174438,ReverseGreedy
123,0.1720325203,0.3699537848,0.1979212644,ReverseGreedy
122,0.1734426230,0.3698786267,0.1964360038,ReverseGreedy
121,0.1748760331,0.3667335607,0.1918575276,ReverseGreedy
120,0.3696178559,0.3696178559,0.0000000000,Baseline_CollisionFallback
119,0.1778151261,0.3684902510,0.1906751250,ReverseGreedy
118,0.1793220339,0.3715454120,0.1922233781,ReverseGreedy
117,0.1808547009,0.3680808091,0.1872261082,ReverseGreedy
116,0.1824137931,0.3710583215,0.1886445284,ReverseGreedy
115,0.1840000000,0.3692073736,0.1852073736,ReverseGreedy
114,0.1836019737,0.3697001321,0.1860981584,ReverseGreedy
113,0.1852267699,0.3701315274,0.1849047575,ReverseGreedy
112,0.1868805804,0.3690952700,0.1822146896,ReverseGreedy
111,0.1885641892,0.3723229838,0.1837587946,ReverseGreedy
110,0.3700134833,0.3700134833,0.0000000000,Baseline_CollisionFallback
109,0.1816743119,0.3687977537,0.1871234418,ReverseGreedy
108,0.1833564815,0.3720418824,0.1886854009,ReverseGreedy
107,0.1850700935,0.3675929338,0.1825228403,ReverseGreedy
106,0.1775288520,0.3709487336,0.1934198816,ReverseGreedy
105,0.1781488095,0.3664683096,0.1883195000,ReverseGreedy
104,0.1798617788,0.3690230661,0.1891612873,ReverseGreedy
103,0.1816080097,0.3705503410,0.1889423313,ReverseGreedy
102,0.1833884804,0.3700646083,0.1866761279,ReverseGreedy
101,0.1852042079,0.3674543581,0.1822501502,ReverseGreedy
100,0.3691465516,0.3691465516,0.0000000000,Baseline_CollisionFallback
99,0.1781818182,0.3673149996,0.1891331814,ReverseGreedy
98,0.1694451531,0.3710511205,0.2016059674,ReverseGreedy
97,0.1711920103,0.3713711402,0.2001791299,ReverseGreedy
96,0.1729752604,0.3670148403,0.1940395799,ReverseGreedy
95,0.1747960526,0.3708781418,0.1960820892,ReverseGreedy
94,0.1766555851,0.3662228542,0.1895672691,ReverseGreedy
93,0.1785551075,0.3668234101,0.1882683026,ReverseGreedy
92,0.1695923913,0.3703595196,0.2007671283,ReverseGreedy
91,0.1607760989,0.3708520727,0.2100759738,ReverseGreedy
90,0.3711817490,0.3711817490,0.0000000000,Baseline_CollisionFallback
89,0.1643890449,0.3719192782,0.2075302332,ReverseGreedy
88,0.1662571023,0.3695131714,0.2032560691,ReverseGreedy
87,0.1573563218,0.3723656566,0.2150093348,ReverseGreedy
86,0.1591860465,0.3713891142,0.2122030677,ReverseGreedy
85,0.1610588235,0.3706249077,0.2095660842,ReverseGreedy
