n,score,baseline,improvement,source
200,0.3710643976,0.3710643976,0.0000000000,ReverseGreedy
199,0.3698460143,0.3698460143,0.0000000000,Baseline
198,0.3677785288,0.3677785288,0.0000000000,Baseline
197,0.3696390107,0.3696454248,0.0000064142,ReverseGreedy
196,0.3668533110,0.3668533110,0.0000000000,Baseline
195,0.3686050241,0.3686050241,0.0000000000,Baseline
194,0.3679802317,0.3679802317,0.0000000000,Baseline
193,0.3680804628,0.3680804628,0.0000000000,Baseline
192,0.3689809353,0.3689809353,0.0000000000,Baseline
191,0.3652504239,0.3652504239,0.0000000000,Baseline
190,0.3671661461,0.3671727945,0.0000066484,ReverseGreedy
189,0.3691031839,0.3691155077,0.0000123239,ReverseGreedy
188,0.3710658741,0.3710788881,0.0000130140,ReverseGreedy
187,0.3730470159,0.3730632672,0.0000162513,ReverseGreedy
186,0.3739518324,0.3739518324,0.0000000000,Baseline
185,0.3714478506,0.3714478506,0.0000000000,Baseline
184,0.3684802931,0.3684802931,0.0000000000,Baseline
183,0.3704938466,0.3704938466,0.0000000000,ReverseGreedy
182,0.3679240916,0.3679240916,0.0000000000,Baseline
181,0.3699419342,0.3699419342,0.0000000000,Baseline
180,0.3672926642,0.3672926642,0.0000000000,Baseline
179,0.3693445785,0.3693445785,0.0000000000,ReverseGreedy
178,0.3714194897,0.3714195481,0.0000000583,ReverseGreedy
177,0.3682787166,0.3682787166,0.0000000000,Baseline
176,0.3691153085,0.3691157403,0.0000004318,Baseline+Opt
175,0.3712237740,0.3712249731,0.0000011991,ReverseGreedy
174,0.3686388763,0.3686388763,0.0000000000,Baseline
173,0.3705996778,0.3705996778,0.0000000000,Baseline
172,0.3727499118,0.3727543271,0.0000044153,ReverseGreedy
171,0.3742943214,0.3742943214,0.0000000000,Baseline
170,0.3669488701,0.3669488701,0.0000000000,Baseline
169,0.3674347042,0.3674347042,0.0000000000,Baseline
168,0.3696191527,0.3696218156,0.0000026628,ReverseGreedy
167,0.3689698179,0.3689698179,0.0000000000,Baseline
166,0.3671879003,0.3671879003,0.0000000000,Baseline
165,0.3694129991,0.3694132815,0.0000002823,ReverseGreedy
164,0.3665959022,0.3665959022,0.0000000000,Baseline
163,0.3688254568,0.3688449568,0.0000195001,ReverseGreedy
162,0.3674571664,0.3674571664,0.0000000000,Baseline
161,0.3697394311,0.3697395091,0.0000000779,ReverseGreedy
160,0.3681298840,0.3681298840,0.0000000000,Baseline
159,0.3704446886,0.3704451663,0.0000004778,ReverseGreedy
158,0.3688892897,0.3688915226,0.0000022329,Baseline+Opt
157,0.3711674012,0.3711714795,0.0000040783,Baseline+Opt
156,0.3638873431,0.3638873431,0.0000000000,Baseline
155,0.3662350033,0.3662350033,0.0000000000,ReverseGreedy
154,0.3686131527,0.3686131527,0.0000000000,ReverseGreedy
153,0.3682901534,0.3682901534,0.0000000000,Baseline
152,0.3707112851,0.3707131150,0.0000018298,ReverseGreedy
151,0.3684267474,0.3684267474,0.0000000000,Baseline
150,0.3688250101,0.3688250101,0.0000000000,Baseline
149,0.3712881774,0.3713003458,0.0000121684,ReverseGreedy
148,0.3673553517,0.3673553517,0.0000000000,Baseline
147,0.3684436833,0.3684436833,0.0000000000,Baseline
146,0.3700651272,0.3700651272,0.0000000000,Baseline
145,0.3681301596,0.3681301596,0.0000000000,Baseline
144,0.3656340931,0.3656340931,0.0000000000,Baseline
143,0.3681909748,0.3681909748,0.0000000000,ReverseGreedy
142,0.3693649251,0.3693649251,0.0000000000,Baseline
141,0.3717303916,0.3717303916,0.0000000000,Baseline
140,0.3696110684,0.3696110684,0.0000000000,Baseline
139,0.3721529399,0.3721529399,0.0000000000,Baseline
138,0.3700992509,0.3700992509,0.0000000000,Baseline
137,0.3703546821,0.3703546821,0.0000000000,Baseline
136,0.3685240505,0.3685240505,0.0000000000,Baseline
135,0.3712445797,0.3712538583,0.0000092786,ReverseGreedy
134,0.3682511413,0.3682511413,0.0000000000,Baseline
133,0.3690944399,0.3690944399,0.0000000000,Baseline
132,0.3707232790,0.3707232790,0.0000000000,Baseline
131,0.3699418629,0.3699418629,0.0000000000,Baseline
130,0.3665844389,0.3665844389,0.0000000000,Baseline
129,0.3694248716,0.3694261787,0.0000013071,ReverseGreedy
128,0.3678478835,0.3678478835,0.0000000000,Baseline
127,0.3694198464,0.3694198464,0.0000000000,Baseline
126,0.3707957390,0.3707978095,0.0000020706,Baseline+Opt
125,0.3714925345,0.3714925345,0.0000000000,Baseline
124,0.3713714187,0.3713714187,0.0000000000,Baseline
123,0.3701129571,0.3701129571,0.0000000000,Baseline
122,0.3704030598,0.3704030598,0.0000000000,Baseline
121,0.3668312866,0.3668312866,0.0000000000,Baseline
120,0.3698800464,0.3698882140,0.0000081676,ReverseGreedy
119,0.3687679963,0.3687679963,0.0000000000,Baseline
118,0.3718894374,0.3718931488,0.0000037115,ReverseGreedy
117,0.3684212226,0.3684212226,0.0000000000,Baseline
116,0.3715797743,0.3715972676,0.0000174933,ReverseGreedy
115,0.3693459289,0.3693459289,0.0000000000,Baseline
114,0.3703453467,0.3703453467,0.0000000000,Baseline
113,0.3707232756,0.3707275349,0.0000042593,Baseline+Opt
112,0.3693035308,0.3693035308,0.0000000000,Baseline
111,0.3726240281,0.3726305896,0.0000065616,ReverseGreedy
110,0.3708874255,0.3708874255,0.0000000000,Baseline
109,0.3689710253,0.3689710253,0.0000000000,Baseline
108,0.3723874237,0.3723874237,0.0000000000,ReverseGreedy
107,0.3681454281,0.3681454281,0.0000000000,Baseline
106,0.3716178416,0.3716184982,0.0000006566,ReverseGreedy
105,0.3671323627,0.3671323627,0.0000000000,Baseline
104,0.3696593473,0.3696593473,0.0000000000,Baseline
103,0.3708171936,0.3708171936,0.0000000000,Baseline
102,0.3706430962,0.3706430962,0.0000000000,Baseline
101,0.3676147912,0.3676147912,0.0000000000,Baseline
100,0.3693526234,0.3693526234,0.0000000000,Baseline
99,0.3675152593,0.3675152593,0.0000000000,Baseline
98,0.3712466706,0.3712654150,0.0000187444,ReverseGreedy
97,0.3716709713,0.3716751077,0.0000041364,Baseline+Opt
96,0.3672546756,0.3672546756,0.0000000000,Baseline
95,0.3711205143,0.3711205143,0.0000000000,ReverseGreedy
94,0.3671124761,0.3671124761,0.0000000000,Baseline
93,0.3670739056,0.3670739056,0.0000000000,Baseline
92,0.3704206668,0.3704206668,0.0000000000,Baseline
91,0.3711676456,0.3711676456,0.0000000000,Baseline
90,0.3720082090,0.3720082090,0.0000000000,Baseline
89,0.3721261993,0.3721261993,0.0000000000,Baseline
88,0.3697296588,0.3697296588,0.0000000000,Baseline
87,0.3725962713,0.3725962713,0.0000000000,Baseline
86,0.3717751186,0.3717751186,0.0000000000,Baseline
