n,score,baseline,improvement,source
200,0.3710645305,0.3710645305,0.0000000000,ReverseGreedy
199,0.3698460143,0.3698460143,0.0000000000,Baseline
198,0.3677792439,0.3677792439,0.0000000000,Baseline
197,0.3696461436,0.3720739741,0.0024278305,ReverseGreedy
196,0.3669601011,0.3669601011,0.0000000000,Baseline
195,0.3686277984,0.3686277984,0.0000000000,Baseline
194,0.3680450921,0.3680450921,0.0000000000,Baseline
193,0.3680847200,0.3680847200,0.0000000000,Baseline
192,0.3691347655,0.3691347655,0.0000000000,Baseline
191,0.3652613023,0.3652613023,0.0000000000,Baseline
190,0.3671739241,0.3699800569,0.0028061328,ReverseGreedy
189,0.3691081881,0.3713966540,0.0022884659,ReverseGreedy
188,0.3710676402,0.3732094883,0.0021418481,ReverseGreedy
187,0.3730519591,0.3731451471,0.0000931879,ReverseGreedy
186,0.3739808632,0.3739808632,0.0000000000,Baseline
185,0.3714752566,0.3714752566,0.0000000000,Baseline
184,0.3727970024,0.3727970024,0.0000000000,Baseline
183,0.3706061172,0.3706061172,0.0000000000,Baseline
182,0.3680393947,0.3680393947,0.0000000000,Baseline
181,0.3700727615,0.3740269444,0.0039541829,ReverseGreedy
180,0.3721287213,0.3751241845,0.0029954633,ReverseGreedy
179,0.3716919790,0.3716919790,0.0000000000,Baseline
178,0.3721627436,0.3721627436,0.0000000000,Baseline
177,0.3683216251,0.3683216251,0.0000000000,Baseline
176,0.3691157403,0.3691157403,0.0000000000,Baseline
175,0.3712249731,0.3727391599,0.0015141869,ReverseGreedy
174,0.3686592527,0.3686592527,0.0000000000,Baseline
173,0.3706236200,0.3706236200,0.0000000000,Baseline
172,0.3727784085,0.3740542117,0.0012758032,ReverseGreedy
171,0.3743021892,0.3743021892,0.0000000000,Baseline
170,0.3669653617,0.3669653617,0.0000000000,Baseline
169,0.3674459401,0.3674459401,0.0000000000,Baseline
168,0.3696331183,0.3718715650,0.0022384467,ReverseGreedy
167,0.3690103186,0.3690103186,0.0000000000,Baseline
166,0.3671925850,0.3671925850,0.0000000000,Baseline
165,0.3694179946,0.3694515467,0.0000335521,ReverseGreedy
164,0.3666727465,0.3666727465,0.0000000000,Baseline
163,0.3689110845,0.3691983533,0.0002872688,ReverseGreedy
162,0.3674762171,0.3674762171,0.0000000000,Baseline
161,0.3697586781,0.3719656354,0.0022069573,ReverseGreedy
160,0.3681298840,0.3681298840,0.0000000000,Baseline
159,0.3704447914,0.3712741537,0.0008293623,ReverseGreedy
158,0.3689368807,0.3689368807,0.0000000000,Baseline
157,0.3711888265,0.3711888265,0.0000000000,Baseline
156,0.3670691172,0.3670691172,0.0000000000,Baseline
155,0.3689607249,0.3689607249,0.0000000000,Baseline
154,0.3713565738,0.3743464461,0.0029898723,ReverseGreedy
153,0.3683089951,0.3683089951,0.0000000000,Baseline
152,0.3707282765,0.3709354880,0.0002072115,ReverseGreedy
151,0.3684356760,0.3684356760,0.0000000000,Baseline
150,0.3688623036,0.3688623036,0.0000000000,Baseline
149,0.3713378895,0.3744521415,0.0031142520,ReverseGreedy
148,0.3673823900,0.3673823900,0.0000000000,Baseline
147,0.3684588901,0.3684588901,0.0000000000,Baseline
146,0.3700807139,0.3700807139,0.0000000000,Baseline
145,0.3682362849,0.3682362849,0.0000000000,Baseline
144,0.3707934813,0.3721779589,0.0013844775,ReverseGreedy
143,0.3691419224,0.3691419224,0.0000000000,Baseline
142,0.3693653914,0.3693653914,0.0000000000,Baseline
141,0.3718356741,0.3718356741,0.0000000000,Baseline
140,0.3696644631,0.3696644631,0.0000000000,Baseline
139,0.3723074441,0.3723074441,0.0000000000,Baseline
138,0.3701273232,0.3701273232,0.0000000000,Baseline
137,0.3703546821,0.3703546821,0.0000000000,Baseline
136,0.3685366844,0.3685366844,0.0000000000,Baseline
135,0.3712663505,0.3713436550,0.0000773044,ReverseGreedy
134,0.3682725368,0.3682725368,0.0000000000,Baseline
133,0.3691888047,0.3691888047,0.0000000000,Baseline
132,0.3707441983,0.3707441983,0.0000000000,Baseline
131,0.3699546444,0.3699546444,0.0000000000,Baseline
130,0.3665850880,0.3665850880,0.0000000000,Baseline
129,0.3694261787,0.3722710823,0.0028449036,ReverseGreedy
