n,score,baseline,improvement,source
200,0.3704527724,0.3704527724,0.0000000000,Baseline_CollisionFallback
199,0.3696158011,0.3696158011,0.0000000000,Baseline_CollisionFallback
198,0.3675820297,0.3675820297,0.0000000000,Baseline_CollisionFallback
197,0.3694479284,0.3694479284,0.0000000000,Baseline_CollisionFallback
196,0.3667043959,0.3667043959,0.0000000000,Baseline_CollisionFallback
195,0.3684026343,0.3684026343,0.0000000000,Baseline_CollisionFallback
194,0.3678373875,0.3678373875,0.0000000000,Baseline_CollisionFallback
193,0.3679203695,0.3679203695,0.0000000000,Baseline_CollisionFallback
192,0.3687220327,0.3687220327,0.0000000000,Baseline_CollisionFallback
191,0.3651992663,0.3651992663,0.0000000000,Baseline_CollisionFallback
190,0.3671213677,0.3671213677,0.0000000000,Baseline_CollisionFallback
189,0.3690107009,0.3690107009,0.0000000000,Baseline_CollisionFallback
188,0.3709735238,0.3709735238,0.0000000000,Baseline_CollisionFallback
187,0.3729573394,0.3729573394,0.0000000000,Baseline_CollisionFallback
186,0.3738216397,0.3738216397,0.0000000000,Baseline_CollisionFallback
185,0.3708338665,0.3708338665,0.0000000000,Baseline_CollisionFallback
184,0.3682649236,0.3682649236,0.0000000000,Baseline_CollisionFallback
183,0.3702737017,0.3702737017,0.0000000000,Baseline_CollisionFallback
182,0.3675281111,0.3675281111,0.0000000000,Baseline_CollisionFallback
181,0.3694851317,0.3694851317,0.0000000000,Baseline_CollisionFallback
180,0.3667350072,0.3667350072,0.0000000000,Baseline_CollisionFallback
179,0.3687838061,0.3687838061,0.0000000000,Baseline_CollisionFallback
178,0.3708556252,0.3708556252,0.0000000000,Baseline_CollisionFallback
177,0.3680544246,0.3680544246,0.0000000000,Baseline_CollisionFallback
176,0.3687805519,0.3687805519,0.0000000000,Baseline_CollisionFallback
175,0.3707558542,0.3707558542,0.0000000000,Baseline_CollisionFallback
174,0.3682620911,0.3682620911,0.0000000000,Baseline_CollisionFallback
173,0.3699757749,0.3699757749,0.0000000000,Baseline_CollisionFallback
172,0.3719470067,0.3719470067,0.0000000000,Baseline_CollisionFallback
171,0.3735558398,0.3735558398,0.0000000000,Baseline_CollisionFallback
170,0.3663684973,0.3663684973,0.0000000000,Baseline_CollisionFallback
169,0.3669294732,0.3669294732,0.0000000000,Baseline_CollisionFallback
168,0.3691020670,0.3691020670,0.0000000000,Baseline_CollisionFallback
167,0.3683105407,0.3683105407,0.0000000000,Baseline_CollisionFallback
166,0.3668855784,0.3668855784,0.0000000000,Baseline_CollisionFallback
165,0.3690936384,0.3690936384,0.0000000000,Baseline_CollisionFallback
164,0.3662443428,0.3662443428,0.0000000000,Baseline_CollisionFallback
163,0.3683561913,0.3683561913,0.0000000000,Baseline_CollisionFallback
162,0.3671333683,0.3671333683,0.0000000000,Baseline_CollisionFallback
161,0.3694136997,0.3694136997,0.0000000000,Baseline_CollisionFallback
160,0.3679758489,0.3679758489,0.0000000000,Baseline_CollisionFallback
159,0.3701298467,0.3701298467,0.0000000000,Baseline_CollisionFallback
158,0.3684226639,0.3684226639,0.0000000000,Baseline_CollisionFallback
