n,score,baseline,improvement,source
200,0.3704527724,0.3704527724,0.0000000000,Baseline_CollisionFallback
199,0.1604145729,0.1604145729,0.0000000000,ReverseGreedy
198,0.1612247475,0.1612247475,0.0000000000,ReverseGreedy
197,0.1620431472,0.1620431472,0.0000000000,ReverseGreedy
196,0.1628698980,0.1628698980,0.0000000000,ReverseGreedy
195,0.1637051282,0.1637051282,0.0000000000,ReverseGreedy
194,0.1645489691,0.1645489691,0.0000000000,ReverseGreedy
193,0.1654015544,0.1654015544,0.0000000000,ReverseGreedy
192,0.1662630208,0.1662630208,0.0000000000,ReverseGreedy
191,0.1671335079,0.1671335079,0.0000000000,ReverseGreedy
190,0.3671213677,0.3671213677,0.0000000000,Baseline_CollisionFallback
189,0.1689021164,0.1689021164,0.0000000000,ReverseGreedy
188,0.1698005319,0.1698005319,0.0000000000,ReverseGreedy
187,0.1707085561,0.1707085561,0.0000000000,ReverseGreedy
186,0.1716263441,0.1716263441,0.0000000000,ReverseGreedy
185,0.1725540541,0.1725540541,0.0000000000,ReverseGreedy
184,0.1734918478,0.1734918478,0.0000000000,ReverseGreedy
183,0.1744398907,0.1744398907,0.0000000000,ReverseGreedy
182,0.1753983516,0.1753983516,0.0000000000,ReverseGreedy
181,0.1671270718,0.1671270718,0.0000000000,ReverseGreedy
180,0.3667350072,0.3667350072,0.0000000000,Baseline_CollisionFallback
179,0.1689944134,0.1689944134,0.0000000000,ReverseGreedy
178,0.1699438202,0.1699438202,0.0000000000,ReverseGreedy
177,0.1709039548,0.1709039548,0.0000000000,ReverseGreedy
176,0.1718750000,0.1718750000,0.0000000000,ReverseGreedy
175,0.1728571429,0.1728571429,0.0000000000,ReverseGreedy
174,0.1738505747,0.1738505747,0.0000000000,ReverseGreedy
173,0.1748554913,0.1748554913,0.0000000000,ReverseGreedy
172,0.1758720930,0.1758720930,0.0000000000,ReverseGreedy
171,0.1769005848,0.1769005848,0.0000000000,ReverseGreedy
170,0.3663684973,0.3663684973,0.0000000000,Baseline_CollisionFallback
169,0.1789940828,0.1789940828,0.0000000000,ReverseGreedy
168,0.1800595238,0.1800595238,0.0000000000,ReverseGreedy
167,0.1811377246,0.1811377246,0.0000000000,ReverseGreedy
166,0.1822289157,0.1822289157,0.0000000000,ReverseGreedy
165,0.1686099287,0.1833333333,0.0147234046,ReverseGreedy
164,0.1570464939,0.1570464939,0.0000000000,ReverseGreedy
163,0.1580099693,0.1580099693,0.0000000000,ReverseGreedy
162,0.1589853395,0.1589853395,0.0000000000,ReverseGreedy
